timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666062458995,1585,/catalog/fetchImage-34,200,,Thread Group 1-1,bin,true,,48262,635,1,1,https://advantageonlineshopping.com/catalog/fetchImage?image_id=laptops,1279,0,668
1666062460580,615,/catalog/fetchImage-33,200,,Thread Group 1-1,bin,true,,64304,635,1,1,https://advantageonlineshopping.com/catalog/fetchImage?image_id=tablets,313,0,0
1666062461196,307,/catalog/fetchImage-37,200,,Thread Group 1-1,bin,true,,60549,638,1,1,https://advantageonlineshopping.com/catalog/fetchImage?image_id=headphones,307,0,0
1666062461504,307,/catalog/fetchImage-36,200,,Thread Group 1-1,bin,true,,92158,632,1,1,https://advantageonlineshopping.com/catalog/fetchImage?image_id=mice,307,0,0
1666062461811,259,/catalog/fetchImage-35,200,,Thread Group 1-1,bin,true,,229405,636,2,2,https://advantageonlineshopping.com/catalog/fetchImage?image_id=speakers,256,0,0
1666062462071,252,/css/fonts/roboto_bold_macroman/Roboto-Bold-webfont.woff-39,200,,Thread Group 1-1,text,true,,25203,651,2,2,https://advantageonlineshopping.com/css/fonts/roboto_bold_macroman/Roboto-Bold-webfont.woff,252,0,0
1666062461985,1362,/catalog/fetchImage-34,200,,Thread Group 1-2,bin,true,,48262,635,2,2,https://advantageonlineshopping.com/catalog/fetchImage?image_id=laptops,1100,0,573
1666062463347,311,/catalog/fetchImage-33,200,,Thread Group 1-2,bin,true,,64297,635,2,2,https://advantageonlineshopping.com/catalog/fetchImage?image_id=tablets,311,0,0
1666062463659,307,/catalog/fetchImage-37,200,,Thread Group 1-2,bin,true,,60541,638,2,2,https://advantageonlineshopping.com/catalog/fetchImage?image_id=headphones,303,0,0
1666062463966,303,/catalog/fetchImage-36,200,,Thread Group 1-2,bin,true,,92142,632,2,2,https://advantageonlineshopping.com/catalog/fetchImage?image_id=mice,303,0,0
1666062464269,619,/catalog/fetchImage-35,200,,Thread Group 1-2,bin,true,,229418,636,2,2,https://advantageonlineshopping.com/catalog/fetchImage?image_id=speakers,340,0,0
1666062464888,302,/css/fonts/roboto_bold_macroman/Roboto-Bold-webfont.woff-39,200,,Thread Group 1-2,text,true,,25203,651,3,3,https://advantageonlineshopping.com/css/fonts/roboto_bold_macroman/Roboto-Bold-webfont.woff,302,0,0
1666062465003,1417,/catalog/fetchImage-34,200,,Thread Group 1-3,bin,true,,48269,635,3,3,https://advantageonlineshopping.com/catalog/fetchImage?image_id=laptops,1109,0,598
1666062466419,589,/catalog/fetchImage-33,200,,Thread Group 1-3,bin,true,,64297,635,3,3,https://advantageonlineshopping.com/catalog/fetchImage?image_id=tablets,307,0,0
1666062467008,258,/catalog/fetchImage-37,200,,Thread Group 1-3,bin,true,,60534,638,3,3,https://advantageonlineshopping.com/catalog/fetchImage?image_id=headphones,258,0,0
1666062467266,279,/catalog/fetchImage-36,200,,Thread Group 1-3,bin,true,,92150,632,3,3,https://advantageonlineshopping.com/catalog/fetchImage?image_id=mice,279,0,0
1666062467545,408,/catalog/fetchImage-35,200,,Thread Group 1-3,bin,true,,229404,636,3,3,https://advantageonlineshopping.com/catalog/fetchImage?image_id=speakers,406,0,0
1666062467953,400,/css/fonts/roboto_bold_macroman/Roboto-Bold-webfont.woff-39,200,,Thread Group 1-3,text,true,,25203,651,4,4,https://advantageonlineshopping.com/css/fonts/roboto_bold_macroman/Roboto-Bold-webfont.woff,400,0,0
1666062468796,284,Launch/-41,200,,Thread Group 1-1,text,true,,3264,671,4,4,https://advantageonlineshopping.com/,283,0,0
1666062469080,308,Launch/css/images/Down_arrow.svg-44,200,,Thread Group 1-1,text,true,,1195,625,4,4,https://advantageonlineshopping.com/css/images/Down_arrow.svg,308,0,0
1666062468001,1652,/catalog/fetchImage-34,200,,Thread Group 1-4,bin,true,,48262,635,4,4,https://advantageonlineshopping.com/catalog/fetchImage?image_id=laptops,1387,0,807
1666062469389,636,Launch/vendor/requirejs/require.js-43,200,,Thread Group 1-1,text,true,,21486,567,4,4,https://advantageonlineshopping.com/vendor/requirejs/require.js,636,0,0
1666062469653,761,/catalog/fetchImage-33,200,,Thread Group 1-4,bin,true,,64297,635,4,4,https://advantageonlineshopping.com/catalog/fetchImage?image_id=tablets,372,0,0
1666062470414,608,/catalog/fetchImage-37,200,,Thread Group 1-4,bin,true,,60534,638,5,5,https://advantageonlineshopping.com/catalog/fetchImage?image_id=headphones,608,0,0
1666062470025,997,Launch/css/main.min.css-42,200,,Thread Group 1-1,text,true,,30595,570,5,5,https://advantageonlineshopping.com/css/main.min.css,389,0,0
1666062471023,253,Launch/css/fonts/roboto_regular_macroman/Roboto-Regular-webfont.woff-50,200,,Thread Group 1-1,text,true,,25415,657,5,5,https://advantageonlineshopping.com/css/fonts/roboto_regular_macroman/Roboto-Regular-webfont.woff,253,0,0
1666062471022,257,/catalog/fetchImage-36,200,,Thread Group 1-4,bin,true,,92142,632,5,5,https://advantageonlineshopping.com/catalog/fetchImage?image_id=mice,257,0,0
1666062471279,303,/catalog/fetchImage-35,200,,Thread Group 1-4,bin,true,,229411,636,5,5,https://advantageonlineshopping.com/catalog/fetchImage?image_id=speakers,296,0,0
1666062471582,270,/css/fonts/roboto_bold_macroman/Roboto-Bold-webfont.woff-39,200,,Thread Group 1-4,text,true,,25203,651,5,5,https://advantageonlineshopping.com/css/fonts/roboto_bold_macroman/Roboto-Bold-webfont.woff,270,0,0
